,userId,itemId,rating
0,0,0,0.0
1,0,17,3.0
2,0,77,5.0
3,0,84,2.5
4,0,111,0.5
5,0,139,0.0
6,0,182,0.0
7,0,188,4.0
8,0,229,0.5
9,0,247,2.5
10,0,269,4.0
11,0,274,0.5
12,0,280,0.0
13,0,286,2.0
14,0,313,1.0
15,0,335,2.0
16,0,338,0.0
17,0,346,3.0
18,0,349,3.5
19,0,356,5.0
20,0,362,5.0
21,0,383,3.0
22,0,385,0.5
23,0,392,2.0
24,0,405,3.0
25,0,426,2.0
26,0,465,3.0
27,0,467,3.0
28,0,480,4.5
29,0,517,3.5
30,0,518,3.5
31,0,524,1.0
32,0,525,5.0
33,0,568,1.5
34,0,587,0.0
35,0,620,5.0
36,0,625,3.0
37,0,632,4.0
38,0,645,5.0
39,0,699,3.5
40,0,726,2.5
41,0,751,4.0
42,0,766,0.5
43,0,776,0.0
44,0,796,2.5
45,0,807,0.0
46,0,823,5.0
47,0,867,0.5
48,0,888,3.5
49,0,926,3.0
50,0,945,0.0
51,0,952,4.5
52,0,1043,0.5
53,0,1047,1.5
54,0,1052,1.0
55,1,0,1.0
56,1,40,0.0
57,1,53,1.5
58,1,83,2.0
59,1,84,3.5
60,1,133,3.0
61,1,134,5.0
62,1,172,2.0
63,1,174,0.5
64,1,186,1.5
65,1,216,3.0
66,1,224,3.0
67,1,304,4.0
68,1,327,2.0
69,1,336,3.0
70,1,338,4.0
71,1,341,4.5
72,1,348,2.0
73,1,370,4.5
74,1,373,0.0
75,1,375,2.0
76,1,415,2.0
77,1,476,1.0
78,1,483,1.5
79,1,542,2.5
80,1,544,4.5
81,1,571,1.0
82,1,580,3.5
83,1,584,2.5
84,1,619,2.0
85,1,629,2.0
86,1,682,4.0
87,1,790,1.5
88,1,808,0.5
89,1,839,3.5
90,1,854,1.5
91,1,922,1.0
92,1,932,2.5
93,1,962,2.5
94,1,984,3.5
95,1,986,2.5
96,1,1006,1.0
97,1,1013,3.0
98,1,1052,1.5
99,2,0,2.0
100,2,1,2.5
101,2,7,4.0
102,2,59,4.0
103,2,82,4.5
104,2,85,3.0
105,2,100,3.0
106,2,102,4.5
107,2,134,1.5
108,2,145,3.5
109,2,147,3.0
110,2,179,0.0
111,2,249,0.5
112,2,258,0.0
113,2,285,5.0
114,2,287,2.5
115,2,294,3.0
116,2,295,1.0
117,2,307,5.0
118,2,309,3.0
119,2,331,3.0
120,2,346,4.0
121,2,351,1.0
122,2,374,1.5
123,2,377,0.5
124,2,388,0.0
125,2,425,0.5
126,2,438,3.0
127,2,469,4.5
128,2,481,4.5
129,2,522,1.0
130,2,538,2.5
131,2,568,0.0
132,2,604,3.5
133,2,637,3.5
134,2,678,2.5
135,2,683,1.5
136,2,686,0.5
137,2,687,5.0
138,2,689,3.0
139,2,704,5.0
140,2,747,3.0
141,2,783,0.5
142,2,844,4.0
143,2,845,4.0
144,2,856,5.0
145,2,886,1.0
146,2,919,0.0
147,2,939,4.0
148,2,1006,2.0
149,2,1011,3.5
150,2,1015,0.5
151,2,1042,5.0
152,2,1054,1.5
153,3,0,3.0
154,3,4,5.0
155,3,7,1.0
156,3,20,4.0
157,3,24,2.0
158,3,53,2.5
159,3,74,3.5
160,3,82,2.0
161,3,148,0.5
162,3,180,4.5
163,3,181,4.0
164,3,184,1.0
165,3,210,4.5
166,3,267,4.5
167,3,286,2.5
168,3,315,2.5
169,3,368,4.5
170,3,379,0.0
171,3,398,2.5
172,3,417,1.0
173,3,455,5.0
174,3,456,1.5
175,3,464,3.0
176,3,491,1.0
177,3,495,4.0
178,3,499,3.5
179,3,516,3.0
180,3,519,2.5
181,3,520,4.0
182,3,562,1.5
183,3,566,2.5
184,3,567,3.5
185,3,583,0.5
186,3,591,3.0
187,3,612,0.5
188,3,640,4.5
189,3,670,4.0
190,3,681,5.0
191,3,697,2.0
192,3,717,2.5
193,3,727,4.0
194,3,746,1.0
195,3,765,1.5
196,3,800,1.0
197,3,804,2.0
198,3,806,2.0
199,3,823,2.5
200,3,842,1.5
201,3,871,1.5
202,3,891,0.5
203,3,916,4.0
204,3,950,4.5
205,3,972,2.5
206,3,990,2.0
207,3,1002,2.5
208,3,1027,4.0
209,3,1028,3.0
210,4,0,4.0
211,4,38,2.0
212,4,47,3.0
213,4,56,3.5
214,4,62,1.5
215,4,67,4.5
216,4,136,4.5
217,4,158,1.0
218,4,201,4.5
219,4,223,4.5
220,4,275,3.0
221,4,313,3.5
222,4,326,0.0
223,4,329,3.0
224,4,347,0.0
225,4,359,3.5
226,4,367,5.0
227,4,414,4.0
228,4,421,4.5
229,4,426,5.0
230,4,428,3.5
231,4,455,1.0
232,4,469,1.0
233,4,489,2.5
234,4,497,2.5
235,4,513,1.5
236,4,521,2.0
237,4,547,1.0
238,4,554,1.5
239,4,593,2.5
240,4,608,4.0
241,4,610,2.5
242,4,629,2.5
243,4,634,2.0
244,4,650,1.5
245,4,666,1.0
246,4,678,1.5
247,4,712,4.5
248,4,717,1.5
249,4,727,5.0
250,4,747,1.5
251,4,749,1.5
252,4,750,4.0
253,4,765,4.0
254,4,798,1.5
255,4,828,1.5
256,4,861,1.5
257,4,867,3.5
258,4,885,2.5
259,4,939,4.0
260,4,943,2.5
261,4,960,5.0
262,4,1030,2.0
263,4,1051,4.5
264,4,1053,3.5
265,4,1064,2.0
266,5,0,5.0
267,5,34,4.5
268,5,48,4.0
269,5,71,1.0
270,5,87,1.0
271,5,115,0.0
272,5,179,2.0
273,5,192,0.0
274,5,207,5.0
275,5,229,2.0
276,5,238,1.5
277,5,270,5.0
278,5,286,2.0
279,5,296,1.0
280,5,326,1.0
281,5,344,1.5
282,5,365,5.0
283,5,423,0.0
284,5,446,0.5
285,5,456,3.0
286,5,491,4.5
287,5,502,0.0
288,5,550,0.5
289,5,560,5.0
290,5,580,1.5
291,5,599,4.5
292,5,606,4.0
293,5,635,2.5
294,5,638,0.5
295,5,693,4.5
296,5,712,3.5
297,5,718,2.5
298,5,736,0.5
299,5,753,1.0
300,5,765,4.5
301,5,782,3.5
302,5,788,2.5
303,5,838,0.0
304,5,850,1.0
305,5,861,0.0
306,5,876,2.5
307,5,884,1.0
308,5,887,1.5
309,5,918,0.0
310,5,946,1.5
311,5,983,0.5
312,5,1009,2.5
313,5,1035,4.0
314,6,0,6.0
315,6,8,4.0
316,6,39,3.0
317,6,41,1.0
318,6,51,1.0
319,6,53,3.0
320,6,64,0.0
321,6,102,3.5
322,6,106,5.0
323,6,153,4.0
324,6,202,0.5
325,6,237,1.0
326,6,241,4.0
327,6,246,1.5
328,6,247,4.0
329,6,251,4.5
